created_at,entry_id,field1,field2,field3
2023-04-17 10:12:48 UTC,4300,22.26000,72.82000,0.73052
2023-04-17 10:17:49 UTC,4301,22.28000,74.09000,0.69723
2023-04-17 10:22:51 UTC,4302,22.29000,74.00000,0.70008
2023-04-17 10:27:53 UTC,4303,22.34000,74.24000,0.69573
2023-04-17 10:32:54 UTC,4304,22.41000,73.19000,0.72717
2023-04-17 10:37:56 UTC,4305,22.46000,72.78000,0.74054
2023-04-17 10:42:58 UTC,4306,22.55000,73.49000,0.72518
2023-04-17 10:47:59 UTC,4307,22.57000,73.30000,0.73126
2023-04-17 10:53:01 UTC,4308,22.59000,72.79000,0.74613
2023-04-17 10:58:03 UTC,4309,22.62000,73.45000,0.72936
2023-04-17 11:03:04 UTC,4310,22.60000,73.22000,0.73479
2023-04-17 11:08:06 UTC,4311,22.62000,73.36000,0.73183
2023-04-17 11:13:08 UTC,4312,22.62000,73.35000,0.73211
2023-04-17 11:18:09 UTC,4313,22.62000,72.83000,0.74639
2023-04-17 11:23:11 UTC,4314,22.63000,73.39000,0.73145
2023-04-17 11:28:13 UTC,4315,22.67000,73.12000,0.74067
2023-04-17 11:33:14 UTC,4316,22.66000,72.84000,0.74793
2023-04-17 11:38:16 UTC,4317,22.67000,73.33000,0.73488
2023-04-17 11:43:18 UTC,4318,22.72000,73.00000,0.74624
2023-04-17 11:48:19 UTC,4319,22.72000,73.28000,0.73850
2023-04-17 11:53:21 UTC,4320,22.72000,73.15000,0.74209
2023-04-17 11:58:23 UTC,4321,22.74000,73.39000,0.73635
2023-04-17 12:03:24 UTC,4322,22.72000,72.56000,0.75840
2023-04-17 12:08:26 UTC,4323,22.79000,72.89000,0.75246
2023-04-17 12:13:28 UTC,4324,22.79000,73.41000,0.73803
2023-04-17 12:18:29 UTC,4325,22.83000,73.01000,0.75095
2023-04-17 12:23:31 UTC,4326,22.83000,73.74000,0.73064
2023-04-17 12:28:33 UTC,4327,22.84000,73.44000,0.73943
2023-04-17 12:33:34 UTC,4328,22.86000,72.85000,0.75677
2023-04-17 12:38:36 UTC,4329,22.87000,72.74000,0.76030
2023-04-17 12:43:38 UTC,4330,22.87000,73.02000,0.75249
2023-04-17 12:48:39 UTC,4331,22.93000,73.08000,0.75355
2023-04-17 12:53:41 UTC,4332,22.93000,73.05000,0.75439
2023-04-17 12:58:43 UTC,4333,22.96000,73.28000,0.74931
